date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2017-03-15,Wheat - Wholesale,MT,cereals and tubers,2.565,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2017-04-15,Wheat - Wholesale,MT,cereals and tubers,2.5638,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2017-05-15,Wheat - Wholesale,MT,cereals and tubers,2.56,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2017-06-15,Wheat - Wholesale,MT,cereals and tubers,2.455,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2017-07-15,Wheat - Wholesale,MT,cereals and tubers,2.42,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2017-08-15,Wheat - Wholesale,MT,cereals and tubers,2.468,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2017-09-15,Wheat - Wholesale,MT,cereals and tubers,2.51,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2017-10-15,Wheat - Wholesale,MT,cereals and tubers,2.535,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2017-11-15,Wheat - Wholesale,MT,cereals and tubers,2.5775,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2017-12-15,Wheat - Wholesale,MT,cereals and tubers,2.57,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2018-01-15,Wheat - Wholesale,MT,cereals and tubers,2.58,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2018-02-15,Wheat - Wholesale,MT,cereals and tubers,2.5733,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2018-03-15,Wheat - Wholesale,MT,cereals and tubers,2.585,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2018-04-15,Wheat - Wholesale,MT,cereals and tubers,2.535,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2018-05-15,Wheat - Wholesale,MT,cereals and tubers,2.492,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2018-06-15,Wheat - Wholesale,MT,cereals and tubers,2.465,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2018-07-15,Wheat - Wholesale,MT,cereals and tubers,2.48,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2018-08-15,Wheat - Wholesale,MT,cereals and tubers,2.4875,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2018-09-15,Wheat - Wholesale,MT,cereals and tubers,2.49,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2018-10-15,Wheat - Wholesale,MT,cereals and tubers,2.4975,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2018-11-15,Wheat - Wholesale,MT,cereals and tubers,2.54,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2018-12-15,Wheat - Wholesale,MT,cereals and tubers,2.535,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2019-01-15,Wheat - Wholesale,MT,cereals and tubers,2.5067,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2019-02-15,Wheat - Wholesale,MT,cereals and tubers,2.54,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2019-03-15,Wheat - Wholesale,MT,cereals and tubers,2.54,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2019-04-15,Wheat - Wholesale,MT,cereals and tubers,2.49,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2019-05-15,Wheat - Wholesale,MT,cereals and tubers,2.424,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2019-06-15,Wheat - Wholesale,MT,cereals and tubers,2.465,CNY,China,Hebei Sheng,907,Sijiazhuang,2605,84,14,18,1,2605_84_14_18,
2014-01-15,Maize - Wholesale,MT,cereals and tubers,2.17,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2014-02-15,Maize - Wholesale,MT,cereals and tubers,2.17,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2014-03-15,Maize - Wholesale,MT,cereals and tubers,2.17,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2014-04-15,Maize - Wholesale,MT,cereals and tubers,2.21,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2014-05-15,Maize - Wholesale,MT,cereals and tubers,2.285,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2014-06-15,Maize - Wholesale,MT,cereals and tubers,2.332,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2014-07-15,Maize - Wholesale,MT,cereals and tubers,2.3525,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2014-08-15,Maize - Wholesale,MT,cereals and tubers,2.425,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2014-09-15,Maize - Wholesale,MT,cereals and tubers,2.46,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2014-10-15,Maize - Wholesale,MT,cereals and tubers,2.31,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2014-11-15,Maize - Wholesale,MT,cereals and tubers,2.192,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2014-12-15,Maize - Wholesale,MT,cereals and tubers,2.1725,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
2015-01-15,Maize - Wholesale,MT,cereals and tubers,2.18,CNY,China,Heilongjiang Sheng,908,Heilongjiang,2584,51,14,18,1,2584_51_14_18,
