S.N.,Product Code,Products
120,03031300,Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)
121,03031400,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)"
122,03031900,"Salmonidae, excluding livers and roes"
123,03032200,Atlantic Salmon
124,03032400,"Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)"
125,03032900,"Frozen fish, salmonidae"
126,03033900,"Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae), excluding livers and roes"
127,03034900,Tunas (of the genus Thunnus)
128,03036100,Swordfish (Xiphias gladius)
129,03036200,Toothfish (Dissostichus spp.)
130,03036300,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus"
131,03036900,"fish, excluding livers and roes"
132,03037900,"Fish meat, frozen"
133,03038000,Livers and roes
134,03038900,"Fish, frozen, excluding fish fillets Livers, roes, milt, fish fins, heads, tails,maws and  other edible fish offal"
135,03041000,Fresh or chilled fish fillets
136,03041100,"Fish fillets and other fish meat (whether or not minced), fresh, chilled or frozen fresh or chilled"
137,03041200,Toothfish (Dissostichus spp.)
138,03041900,Fish fillets and other fish meat (whether or not minced)
139,03042000,Frozen fillets
140,03042100,Swordfish (Xiphias gladius)
141,03042900,Frozen fillets
142,03043100,Tilapias (Oreochromis spp.)
143,03043200,"Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)"
144,03043900,"Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae), excluding livers and roes"
145,03044100,Pacific salmon
146,03044300,"Flat fish (Pleuronectidae, Bothidae,Cynoglo sidae, Soleidae, Scophthalmidae andCi"
147,03044900,Fresh or chilled fillets of other fish
148,03045300,"Fish of the families Bregmacerotidae,Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae,Moridae and Muraenolepididae"
149,03045900,"Fish fillets and other fish meat, fresh or chilled"
150,03046200,"Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)"
151,03046900,Frozen fillets of tilapias
152,03047500,Alaska Pollack (Theragra chalcogramma)
153,03047900,"Frozen fillets of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae"
154,03048100,Pacific salmon
155,03048900,Frozen fillets of other fish
156,03049000,"Fish meat, whether not not minced,fresh chilled or frozen"
157,03049100,Swordfish (Xiphias gladius)
158,03049900,"Fish fillets and other fish meat (whether or not minced), fresh, chilled or frozen"
159,03051000,"Flours, meals and pellets of fish, fit for human consumption"
160,03052000,"Livers and roes of fish, fried, smoked, saled or in brine"
161,03053000,"Fish fillets, dried, salted or in brine, but not smoked"
162,03053900,"Fish fillets, dried, salted or in brine, but not smoked"
163,03054100,"Pacific salmon, atlantic salmon and danube salmon"
164,03054200,"Herrings ,Clupea harengus, Clupea pallasii"
165,03054900,"Smoked fish, including fillets"
166,03055100,Cod
167,03055900,"Dried fish, not smoked"
168,03056300,Anchovies
169,03056900,"Fish, salted but not dried or smoked and fish in brine"
170,03061100,"Rocklobster and other sea craw fish (Palinurus spp.,Panulirus spp., Jasus spp.)"
171,03061200,Lobsters
172,03061300,Shrimps and prawns
173,03061400,Crabs
174,03061600,"Cold-water shrimps and prawns (Pandalus spp., Crangon crangon)"
175,03061700,"Shrimps and prawns, frozen"
176,03061900,"Fresh crustaceans, including flours, meals and pellets of crustaceans, fit for human consumption"
177,03062100,Rock lobster and other sea craw fish
178,03062300,"Shrimps and prawns, not frozen"
179,03062400,Crabs
180,03062700,"Shrimps and prawn, not frozen"
181,03062900,"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine including flours, meals and pellets of crustaceans, fit for  human consumption"
182,03071000,Oysters
183,03071100,"Oysters: Live, fresh or chilled"
184,03071900,Oysters
185,03072100,"Scallops, including queen scallops, of the genera pecten Chlamys or Placopecten live, fresh   or   chilled"
186,03072900,"Scallops, including queen scallops, of the genera pecten Chlamys or Placopecten"
187,03073900,"Mussels (Mytilus spp., perna spp.)"
188,03074100,"Cuttle fish, live, fresh or chilled"
189,03074900,Cuttle fish
190,03075100,"Octopus live, fresh or chilled"
191,03075200,Frozen Octopus
192,03075900,Octopus
193,03076000,"Snails, other than sea snails"
194,03079100,"Live, fresh or chilled of pellets of aquatic invertebrates other than  crustaceans, fit for human consumption"
195,03079900,"Flours, meals and pellets of aquatic invertebrates other than  crustaceans, fit for human consumption"
196,03082900,Sea urchins
197,04011000,"Milk and cream of a fat content, by weight, not exceeding 1%"
198,04012000,"Milk and cream, not concentrated nor containing added  sugar or other sweetening matter of a fat content, by weight, exceeding 1% but not  exceeding 6%"
199,04013000,"Milk and cream, of a fat content, by weight, exceeding  6%"
200,04014000,"Milk and cream, not concentrated nor  containing added sugar or other sweetening  matter of a fat content, by weight, exceeding 6 % but  not exceeding 10 %"
201,04015000,"Milk and cream, of a fat content, by weight, exceeding 10 % not concentrated nor containing added sugar or other sweetening matter"
202,04021000,"Milk and cream in powder, granules or other solid form, of a fat content, by weight, not exceeding 1.5%"
203,04022100,Milk and cream in solid form not containing sugar or sweetening matter of a fat content by weight exceeding 1.5%
204,04022900,Milk and cream in powdered and granules of a fat content by weight exceeding 1.5% containing sugar or added sweetening matter
205,04024200,"Meat of Sheep, frozen,cuts with bone in"
206,04029100,Milk and cream in liquid form not containing sugar or sweetening matster of a fat content by weight exceeding 1.5%
207,04029900,Milk and cream in liquid form containing added sugar or sweetening matter of a fat content by weight exceeding 1.5%
208,04031000,Yogurt
209,04039000,"Buttermilk, curdled milk and cream"
210,04041000,Whey and modified whey
211,04049000,Product consisting of natural milk constituents whether or not containing added sugar or sweetening matter
212,04051000,Butter
213,04052000,Dairy spreads
214,04059000,Fats and oils derived from milk
215,04061000,"Fresh cheese including whey cheese, and curd"
216,04062000,Grated or powdered cheese
217,04063000,Processed cheese
218,04064000,Blue veined cheese
219,04069000,Cheese
220,04070000,Birds eggs
221,04071100,"Fertilised eggs for incubation, of fowls of the species Gallus domesticus"
222,04071900,Fertilised eggs for incubation
223,04072100,Fresh eggs of fowls of the species Gallus domesticus
224,04072900,Fresh eggs
225,04079000,"Birds eggs, in shell, fresh, preserved or cooked"
226,04081100,Egg yolks: dried
227,04081900,Egg yolks
228,04089100,Dried egg yolks
229,04089900,"Birds eggs, not in shell"
230,04090000,Natural Honey
231,04090010,Raw Natural Honey
232,04090090,Natural Honey
233,04100000,"Edible products of animal origin, not elsewhere specified or included"
234,05010000,Human hair
235,05021000,"Pigs, hogs or boars bristle"
236,05029000,Badger hair and other brush-making  hair
237,05040000,"Guts, bladders and stomachs of animals"
238,05051000,Feather of a kind used for stuffing: down
239,05059000,Skins and other parts of birds
240,05061000,Ossein and bones treated with acid
241,05069000,"Bones and horn-cores, unworked, defatted, simply prepared, treated with acid or degelatinised, powder and waste of these products"
242,05071000,"Ivory, ivory powder and waste"
243,05079000,"whalebone and  whalebone hair, horns, antlers, hooves, nails, claws and beaks, unworked or simply  prepared but not cut to shape,powder and  waste  of these products"
244,05080000,"Coral and similar materials, unworked or  simply prepared but not otherwise worked, shells of molluscs, crustaceans or echinoderms and cuttlebone, unworked or simply prepared but not cut to shape,  powder   and waste  thereof"
245,05090000,Natural sponges of animal origin
246,05100000,"Ambergris, castoreum, civet and musk; cantharides;  bile, whether or not dried; glands and other animal  products used in the preparation of pharmaceutical   products, fresh, chilled, frozen or otherwise   provisionally preserved"
247,05111000,Bovine semen
248,05119100,Products of fish or crustaceans
249,05119910,Eggs of silk worm
250,05119990,Animal products not elsewhere specified  or included: dead animals
