S.N.,Product Code,Products
1373,28521000,"Chemically defined  Inorganic and organic compounds of mercury, whether or not chemically defined, excluding amalgams"
1374,28529000,"Inorganic and organic compounds of mercury, whether or not chemically defined, excluding amalgams"
1375,28530000,"Inorganic compounds (including distilled or  conductivity water and water of similar purity); liquid  air (whether or not rare gaseshave been removed)  compressed air amalgams, other than amalgams of  precious metals"
1376,29011000,Saturated acyclic hydrocarbons
1377,29012100,Unsaturated ethylene
1378,29012200,Unsaturated propene
1379,29012300,Unsaturated butene
1380,29012400,"Buta- 1, 3- diene and isoprene"
1381,29012900,Unsaturated hydrocarbons
1382,29021100,Cyclohexane
1383,29021900,Hexane
1384,29022000,Benzene
1385,29023000,Toluene
1386,29024100,o-Xylene
1387,29024200,m-Xylene
1388,29024300,p-Xylene
1389,29024400,Mixed xylene isomers
1390,29025000,Styrene
1391,29026000,Ethylbenzene
1392,29029000,Cyclic hydrocarbons
1393,29031100,Chloromethane and chloroethane
1394,29031200,Dichloromethane ( methylene chloride)
1395,29031300,Chloroform (trichloromethane)
1396,29031400,Carbon tetrachloride
1397,29031500,"Ethylene dichloride (ISO) (1, 2- dichloroethane)"
1398,29031900,Saturated chlorinated derivatives of acyclic   hydrocarbons
1399,29032100,Vinyl chloride (chloroethylene)
1400,29032200,Trichloroethylene
1401,29032300,Tetrachloroethylene (Perchloroethylene)
1402,29032900,Unsaturated chlorinated derivatives of acyclic hydrocarbons
1403,29033000,"Fluorinated, brominated or iodinated derivatives of acyclic hydrocarbons"
1404,29033100,"Ethylene dibromide (ISO) (1,2- dibromoethane)"
1405,29033900,Halogenated derivatives of hydrocarbons
1406,29034100,Trichlorofluoromethane
1407,29034200,Dichlorodifluoromethane
1408,29034300,Trichlorotrifluoromethanes
1409,29034500,Derivatives perhalogenated only with fluorine and chlorine
1410,29034600,"Bromochlorodifluoromethane, bromotrifluorometh-ane and dibromotetrafluoroethanes"
1411,29034700,Perhalogenated derivatives
1412,29034900,Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens
1413,29035100,"1, 2, 3, 4, 5, 6 ,  Hexachlorocyclohexane"
1414,29035200,"Aldrin (ISO), chlordane (ISO) and heptachlor (ISO)"
1415,29035900,"Halogenated derivatives of cyclanic,cyclenic or cycloterpenic hydrocarbons"
1416,29036100,"Chlorobenzene, o-dichlorobenzene and pdichlorobenzene"
1417,29036200,Hexachlorobenzene and DDT
1418,29036900,"Halogenated derivatives of cyclanic,cyclenic or cycloterpenic hydrocarbons"
1419,29037100,Chlorodifluoromethane
1420,29037500,Dichloropentafluoropropanes
1421,29037700,Perhalogenated only with fluorine and chlorine
1422,29037900,Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens
1423,29038200,"Aldrin (ISO), chlordane (ISO) and heptachlor"
1424,29038900,"Halogenated derivatives of cyclanic, cyclenic or cycloterpenic hydrocarbons"
1425,29039100,"Chlorobenzene,  o-dichlorobenzene and  p-dichlorobenzene"
1426,29039200,"Hexachlorobenzene (ISO) and DDT (ISO) (clofenotane (INN), 1,1,1-trichloro-2,2-bis(p-chlorophenyl) ethane"
1427,29039900,Halogenated derivatives of aromatic hydrocarbons
1428,29041000,"Derivatives containing only sulpho groups, thier salts and ethyl esters"
1429,29042000,Derivatives containing only nitro or only nitroso groups
1430,29049000,"Sulphonated, nitraed or noitosed derivatives"
1431,29051100,Methanol ( Methyl Alcohol)
1432,29051200,Propan-1-ol ( propyl alcohol) and propan-2-ol ( isopropyl alcohol)
1433,29051300,Butan-1-ol(n-butyl alchol
1434,29051400,Butanols
1435,29051600,Octanol and isomers thereof
1436,29051700,"Dodecan,1,ol (lauryl alcohol), hexadecan1,ol (cetyl alcohol)  and octadecan,1,ol (stearyl alcohol)"
1437,29051900,Saturated monohydric alcohols
1438,29052200,Acyclic terpene alcohols
1439,29052900,Unsaturated monohydric alcohols
1440,29053100,Ethylene glycol
1441,29053200,Propylene glycon
1442,29053900,Diols
1443,29054100,"2-Ethyl-2- (hydroxymethyl) propane-1, 3-diol (trimethylolpropane)"
1444,29054200,Pentaerythritol
1445,29054300,Mannitol
1446,29054400,D-glucitol (sorbitol)
1447,29054500,Glycerol
1448,29054900,Polyhydric alcohols
1449,29055100,Ethchlorvynol (INN)
1450,29055900,"Halogenated, sulphonated, nitrated or nitrosated derivatives of acyclic alcohols"
1451,29061100,Menthol
1452,29061200,"Cyclohexanol, methylcyclohexanols and dimethy-lcyclohexanols"
1453,29061300,Sterols and inositols
1454,29061900,"Cyclanic, cyclenic or cycloterpenic"
1455,29062100,Benzyl alcohol
1456,29062900,Aromatic
1457,29071100,Pheno and its salts
1458,29071200,Cresols and their salts
1459,29071300,"Octylphenol, nonylphenol and their isomers: salts thereof"
1460,29071400,Xylenols and their salts
1461,29071500,Naphthols and their salts
1462,29071900,Monophenols
1463,29072100,Resorcinol and its salts
1464,29072200,Hydroquinone (quinol) and its salts
1465,29072300,"4 4 sopropylidenediphenol (bisphenol) A, diphenylol-propane) and its salts"
1466,29072900,Polyphenols
1467,29073000,Phenol-alcohol
1468,29081000,Derivatives of phenols containing only halogen substituents and their salt
1469,29081100,Derivatives containing only halogen substituents and their salts
1470,29081900,"Halogenated, sulphonated, nitrated or  nitrosated derivatives of phenols or  phenol-alcohols"
1471,29082000,"Derivatives of phenols containing only sulpho groups, their salt and esters"
1472,29089000,Derivatives of phenols containing nitrate and nitro salt
1473,29089100,Dinoseb (ISO) and its salts
1474,29089200,"4,6-Dinitro-o-cresol (DNOC (ISO)) and its salts"
1475,29089900,"Halogenated, sulphonated, nitrated or  nitrosated derivatives of phenols or  phenol-alcohols"
1476,29091100,Diethyl ether
1477,29091900,Acyclic ethers
1478,29092000,"Cyclanic, cyclenic or cycloterpenic ethers and their halegenated,sulphonated, nitrated or nitrosalted derivatives"
1479,29093000,"Aromatic ethers and their halogenated, sulphonated, nitrated or nitrosated derivatives"
1480,29094100,"2,2, Oxydiethanol (diethylene glycol, digol)"
1481,29094300,Monobutyl ethers of ethylene glycol
1482,29094400,Monoalkylethers of ethylene glycol or of diethylene glycol
1483,29094900,"Ether-alcohols and their halogenated,sulphonated,nitrated or nitrosalted derivatives"
1484,29095000,Etherphenols
1485,29096000,"Alcohol peroxides, ether peroxides, ketone peroxides and their halogenated, sulphonated, nitrated or nitrosated derivatives"
1486,29101000,Oxirane (ethylene oxide)
1487,29102000,Methyloxirane (propylene oxide)
1488,29103000,"1-Chloro-2,3-epoxypropane (epichlorohydrin)"
1489,29104000,"Dieldrin (ISO, INN)"
1490,29109000,"Epoxides, epoxyalcohols, epoxyphenols and epoxyethers, with a three-membered  ring, and their halogenated, sulphonated, nitrated or nitrosated derivatives"
1491,29110000,"Acetals and hemiacetals, whether or not with other oxygen function, and their halogenated, sulpho-nated, nitrated or nitrosated derivatives"
1492,29121100,Methanal (formaldehyde)
1493,29121200,Ethanal (acetaldehyde)
1494,29121900,Acyclic aldehydes without other oxygen function
1495,29122100,Benzaldehyde
1496,29122900,Cyclic aldehydes without other oxygen function
1497,29124100,Vanillin
1498,29124200,Ethyvanillin
1499,29124900,"Aldehyde-ether, aldehyde-phenols and with other oxygen function"
1500,29125000,Cyclic polymers of aldehydes
1501,29126000,Parformaldehyde
1502,29130000,"Halogenated, sulphonated, nitrated or nitrosated  derivatives of Aldehydes"
1503,29141100,Acetone
1504,29141200,Butanone(methylisobutyl ketone)
1505,29141300,4- Methylpentan- 2- one ( methyl isobutyl ketone)
1506,29141900,Acycyclic ketones
1507,29142100,Camphor
1508,29142200,Cyclohexanone and methylcyclohexanones
1509,29142300,lonones and methylionones
1510,29142900,"Cyclanic, cyclenic or cycloterpenic ketones without other oxygen function"
1511,29143100,Phenylacetone (phenylpropan-2-one)
1512,29143900,Aromatic ketones without other oxygen  function
1513,29144000,Ketone alchols and ketone aldehydes
1514,29145000,Ketone-phenols and ketones with other oxygen function
1515,29146100,Anthraquinone
1516,29146900,Quinones
1517,29147000,"Halogenated, sulphonated, nitrated or nitrosated derivatives"
1518,29151100,Formic acid
1519,29151200,Salts of formic acids
1520,29151300,Esters of formic acid
1521,29152100,Acetic acid
1522,29152200,Sodium acetate
1523,29152400,Acetic anhydride
1524,29152900,Acetic salt
1525,29153100,Ethyl Acetate
1526,29153200,Vinyl acetate
1527,29153300,n-Butyl acetate
1528,29153400,Isobutyl acetate
1529,29153600,Dinoseb (ISO) acetate
1530,29153900,Other esters of acetic acid
1531,29154000,"Mono, di-or trichloroacetic acids, their salts and esters"
1532,29155000,"Propionic acid, its salts and esters"
1533,29156000,"Butanoic acids, pentanoic acids, their salts and esters"
1534,29157000,"Palmitic acid, stearic acid, their salt and esters"
1535,29159000,Saturated acyclic monocarboxylic acids
1536,29161100,Acryclic acid and its salts
1537,29161200,Esters of acrylic acids
1538,29161300,Methacrylic acid and its salts
1539,29161400,Esters of methacrylic acid
1540,29161500,"Oleic, linoleic or linolenic acids, their salts and esters"
1541,29161900,"Unsaturated acyclic monocarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives"
1542,29162000,"Cyclanic, cyclenic or cycloterpenic monocaboxylic acids, anhydrides"
1543,29163100,"Benzoic acid, its salt and esters"
1544,29163200,Benzoyl peroxide and benzoyl chloride
1545,29163400,Phenylacetic acid its salt
1546,29163900,Aromatic monocarboxytic acid
1547,29171100,"Oxalic acid, its salt and ester"
1548,29171200,"Adipic acid, its salts and esters"
1549,29171300,"Azelaic acid, sebacic acid, their salts and esters"
1550,29171400,Maelic anhydride
1551,29171900,"Acylic polycarboxylic acids, their anhydrided, halides, perooxides, peroxyacids and their derivatives"
1552,29172000,"Cyclanic, cyclenic or cycloterpenic, polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives"
1553,29173100,Dibutyl orthophthalates
1554,29173200,Dioctyl orthophthalates
1555,29173300,Dinonyl or didecyl orthophthalates
1556,29173400,Esters of orthophthalic acids
1557,29173500,Phthalic anhydride
1558,29173600,Terephthalic acid and its salts
1559,29173700,Dimetyl terepthalate
1560,29173900,Aromatic ply carboxylic acid
1561,29181100,"Lactic acid, its salt and esters"
1562,29181200,Tartaric acid
1563,29181300,Salts and esters of tartaric acid
1564,29181400,Citric acid
1565,29181500,Salt and esters of citric acid
1566,29181600,"Gluconic acid, its salts and esters"
1567,29181900,Carboxylic acids with alcohol function
1568,29182100,Salicylic acid and its salts
1569,29182200,"O-Acetylsalicylic acid, its salts and esters"
1570,29182300,Esters of salicylic acid and their salts
1571,29182900,Carboxylic acid
1572,29183000,"Carboxylic acids with aldehyde or ketone function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives"
1573,29189000,Carboxylic acids
1574,29189100,"2, 4,5 -  T (ISO) (2, 4, 5-  trichlorophenoxyacetic acid), its salts and esters"
1575,29189900,"Carboxylic acids with phenol function but without other  oxygen function, their anhydrides, halides, peroxides,  peroxyacids and their derivatives"
1576,29190000,Phosphoric esters and their salts
1577,29191000,"Tris( 2,3-dibromopropyl) phosphate"
1578,29199000,Phosphoric esters and their salt
1579,29201000,"Thiophosphoric esters and their salt, their halogenated sulphonated nitrated or nitrosated derivatives"
1580,29201100,Parthion (ISO) and parathion-methyl (ISO) (methylparathion)
1581,29201900,"Thiophosphoric esters (phosphorothioates) and their salts; their halogenated, sulphonated, nitrated or nitrosated derivatives"
1582,29209000,Estes of inorganic acids
1583,29211100,"Methylamine, di- or trimethylamine and their salts"
1584,29211200,"2-(N,N-Dimethylamino)ethylchloride hydrochloride"
1585,29211900,"Acyclic monoamines and their derivatives, salts thereof"
1586,29212100,Ethylenediamine and its salts
1587,29212200,Hexamethylenediamine and its salts
1588,29212900,Acyclic polyamines and their derivatives: salts thereof
1589,29213000,"Cyclanic, cyclenic or cycloterpenic mono- or polyamines,  and their derivatives salts thereof"
1590,29214100,Aniline and its salt
1591,29214200,Aniline derivatives and their salts
1592,29214300,Toluidines and their derivatives; salts thereof
1593,29214400,Diphenylamine and its derivatives; salts thereof
1594,29214500,"Alpha & beta naphthylamine and their derivatives, salts"
1595,29214900,Aromatic monoamines and their derivatives salts thereof
1596,29215100,"o-m-,p- phynelenediamine, diaminotolunes and thier deriavatives"
1597,29215900,Aromatic polyamines and their derivatives
1598,29221100,Monoethanolamine and its salts
1599,29221200,Diethanolamine and its salts
1600,29221300,Triethanolamine and its salts
1601,29221400,Dextropropoxyphene (INN) and its salts
1602,29221900,Amino-alcohols and salts
1603,29222100,Aminohydroxynaphthalenesulphonic acids and their salts
1604,29222900,Amino-naphthols and amino-phenols
1605,29223100,"Amfepramone (INN), methadone (INN) and normethadone (INN), salts thereof"
1606,29223900,"Amino-aldehydes, amino-ketones and amino-quinones,  other than those containing more than one kind of oxygen  function salts thereof"
1607,29224100,"Lysine and its esters, salts"
1608,29224200,Glutannic acid and its salts
1609,29224300,Anthranilic acid and its salts
1610,29224400,Diphenylamine and its derivatives salts thereof
1611,29224900,Amino-acids and salts
1612,29225000,Amino-alcohol-phenols
1613,29231000,Chlorine and its salts
1614,29232000,Lecithins and other phosphoaminolipids
1615,29239000,Quaternary ammonium salts
1616,29241000,Acyclic amides
1617,29241100,Meprobamate (INN)
1618,29241900,Acyclic amides (including acyclic carbamates) and their derivatives; salts thereof
1619,29242100,Ureines and their derivatives salts thereof
1620,29242300,2-Acetamidobenzoic acid (N-acetylanthranilic acid) and  its salts
1621,29242400,Ethinamate (INN)
1622,29242900,Cyclic amides (including cyclic carbamates) and their derivatives; salts thereof
1623,29251100,Saccharin and its salts
1624,29251200,Glutethimide (INN)
1625,29251900,Imides and thier derivatives
1626,29252100,"Imines and their derivatives, salts thereof"
1627,29252900,Imines and their derivatives salts thereof
1628,29261000,Acrylonitrile
1629,29262000,I-Cyanoguanidine (dicyandiamide)
1630,29263000,"Fenproporex (INN) and its salts; methadone (INN) intermediate (4-cyano-2-dimethylamino-4,4-diphenyl-butane"
1631,29269000,Nitrile-function compounds
1632,29270000,"Diazo-, azo- or azoxy compounds"
1633,29280000,Organic deravatives of hydrazine or of hydroxylamine
1634,29291000,Isocyanates
1635,29299000,Compound with nitrogen function
1636,29301000,Dithiocarbonate(Xanthates)
1637,29302000,Thiocarbamates and dithiocarbamates
1638,29303000,"Thiuram mono-, di-or tetrasulphides"
1639,29304000,Methionine
1640,29305000,Captafol (ISO) and methamidophos (ISO)
1641,29309000,Organo-sulphur compounds
1642,29310000,Oter organo-inorganic compounds
1643,29311000,Tetramethyl lead and tetraethyl lead
1644,29312000,Tributyltin compounds
1645,29313900,Organo-inorganic compounds
1646,29319000,Organo-inorganic compounds
1647,29321100,Tetrahydrofuran
1648,29321200,2- Furaldehyde (furfuraldehyde)
1649,29321300,Furfuryl alcohol and tetrahydrofurfuryl alcohol
1650,29321400,Sucralose
1651,29321900,Compounds containing an unfused furan ring (whether or not hydrogenated) in the structure
1652,29322000,Lactones
1653,29322100,"Coumarin, methylcoumarins and ethylcoumarins"
1654,29322900,Lactones
1655,29329100,Isosafrole
1656,29329200,"1-(1,3-Benzodioxol-5-yl) propan-2-one"
1657,29329300,Piperonal
1658,29329500,Tetrahydrocannabinols (all isomers)
1659,29329900,Heterocyclic compounds with oxygen heteroatom (s) only
1660,29331100,Phenazone and its derivatives
1661,29331900,Compounds containing an unfused pyrazole ring in the structure
1662,29332100,Hydantoin and its derivatives
1663,29332900,Compounds containing an unfused imidazole ring in the structure
1664,29333100,Pyridine and its salts
1665,29333200,Piperidine and its salts
1666,29333300,"Alfentanil (INN), anileridine (INN), bezitramide (INN), bromazepam (INN), difenoxin (INN), diphenoxylate (INN), dipipanone (INN), fentanyl (INN), ketobemidone (INN), methylphenidate (INN), pentazocine (INN), pethidine"
1667,29333900,Compounds containing an unfused pyridine ring in the structure
1668,29334000,Compound containing a quionoline or isoquinoline ring system
1669,29334100,Levorphanol (INN) and its salts
1670,29334900,Compound containing a quionoline or isoquinoline ring system
1671,29335200,Malonylurea (barbituric acid) and its salts
1672,29335300,"Allobarbital (INN),"
1673,29335400,Derivatives of malonylurea (barbituric acid); salts thereof
1674,29335900,Compounds containing a pyrimedine ring
1675,29336100,Melamine
1676,29336900,Compounds containing an unfused triazine ring (whether or not hydrogenated)  in the  structure
1677,29337100,6- hexanelactam
1678,29337200,Clobazam (INN) and methyprylon (INN)
1679,29337900,Lactams
1680,29339000,Lactones
1681,29339100,"Alprazolam (INN), camazepam (INN), chlordiazepoxide (INN), clonazepam (INN), clorazepate, delorazepam (INN), diazepam (INN), estazolam (INN), ethyl loflazepate (INN), fludiazepam (INN), flunitrazepam (INN), flurazepam (INN),"
1682,29339900,Heterocyclic compounds with nitrogen hetero atoms only
1683,29341000,Compounds containing an unfused thiazole ring in the structure
1684,29342000,"Compounds containing a benzothizole ring system, not further fused"
1685,29343000,Compounds containing in the structure a phenothiazine ring system
1686,29349000,Nuclic acids and their salts
1687,29349100,"Aminorex (INN), brotizolam (INN), clotiazepam (INN), cloxazolam (INN), dextromoramide (INN), haloxazolam (INN), ketazolam (INN), mesocarb (INN), oxazolam (INN), pemoline (INN), phendimetrazine (INN), phenmetrazine (INN) and sufentanil (INN): salts thereof"
1688,29349900,Nuclic acids and their salts
1689,29350000,Sulphonamides
1690,29351000,N-Methylperfluorooctane sulphonamide
1691,29355000,Other perfluorooctane sulponamides
1692,29359000,Other Sulphonamides
1693,29361000,"Provitamins, unmixed"
1694,29362100,Vitamins A and their derivatives
1695,29362200,Vitamin B1 and its derivatives
1696,29362300,Vitamin B2 and its derivatives
1697,29362400,Vitamin B3 or vitamin B5 and its derivatives
1698,29362500,Vitamin B6 and its deravities
1699,29362600,Vitamin B12 and its derivatives
1700,29362700,Vitamin C and its derivatives
1701,29362800,Vitamin E and its derivatives
1702,29362900,Vitamins and their derivatives
1703,29369000,"Vitamins, natural or reproduced by synthesis including natural concentrates and their derivatives"
1704,29371100,"Somatotropin, its derivatives and structural analogues"
1705,29371200,Insulin and its salts
1706,29371900,"Polypeptide hormones, protein hormones and glycoprotein hormones, their derivatives and structural analogues"
1707,29372100,"Cortsone,hydrocortisone and prendinsolen"
1708,29372200,Halogenated dervatives of corticosteroidal hormones
1709,29372300,Oestrogens and progestogens
1710,29372900,Adrenal cortical hormones
1711,29373100,Epinephrine
1712,29373900,"Steroidal hormones, their derivatives and structural analogues"
1713,29374000,Amino-acid derivatives
1714,29375000,"Prostaglandins, thromboxanes and leukotrienes, their derivatives and structural analogues"
1715,29379000,"Catecholamine hormones, their derivatives and structural  analogues"
1716,29379100,Insulin and its salts
1717,29379200,Oestrogens and progestogens
1718,29381000,Rutoside and its derivatives
1719,29389000,"Glycosides, natural or reproduced by synthesis and their derivatives"
1720,29391000,Alkaloids of opium and thier derivatives
1721,29391100,Concentrate of poppy straw
1722,29391900,Alkaloids of opium and thier derivatives
1723,29392000,Alkaloids of cinchona and their derivatives salts thereof
1724,29392100,Quinine and its salt
1725,29392900,Alkaloids of cinchona and their derivatives
1726,29393000,Caffeine and its salts
1727,29394100,Ephedrine and its salts
1728,29394200,Pseudoephedrine ( INN) and its salts
1729,29394900,Ephedrines and their salts
1730,29395000,Theophylline and aminophylline
1731,29395100,Fenetylline (INN) and its salts
1732,29395900,Theophylline and aminophylline (theophylline-ethylenediamine) and their derivatives: salts thereof
1733,29396300,Lysegrgic acid and its salts
1734,29396900,Alkaloids of rye ergot and their derivatives: salts thereof
1735,29397900,Alkaloids of rye ergot and their derivatives; salts of vegetal origin
1736,29399000,Alkaloids of rye ergot and their derivatives: salts thereof
1737,29399100,Ephedrine and its salts
1738,29399900,"Vegetable alkaloids, natural or reproduced by synthesis and their salts, ethers, esters and other derivatives"
1739,29400000,"Sugar, chemically pure"
1740,29411000,"Pencillins and their derivatives with a pencillinic acid structure, salt thereof"
1741,29412000,"Streptomycins and their derivatives, salt"
1742,29413000,"Tetracyclines and their derivatives, salt"
1743,29414000,"Chloramphenicol and its derivatives, salts thereof"
1744,29415000,"Erythromycin and their derivatives, salts"
1745,29419000,Antibiotics
1746,29420000,Organic compound
1747,30011000,"Glands and other organs for organo therapeutic uses, dried, whether or not powdered ( Cornea- Exports)"
1748,30012000,Extracts of glands or other organs or of their secretions
1749,30019000,Human or animal substances prepared for therapeutic or prophylactic uses
1750,30021000,Antisera and other blood fractions and modified immunological products
1751,30021100,"Antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes"
1752,30021200,#NAME?
1753,30022000,Vaccines for human medicine
1754,30023000,Vaccines for veterinary medicine
1755,30029000,"Toxins, cultures of micro-organisms"
1756,30029010,Diagnostic Kits
1757,30029090,"Human blood, animal blood prepared for therapeutic,  prophylactic or diagnostic uses"
1758,30031000,Medicaments containing pencillins or derivatives for therapeutic or prophylatic uses
1759,30032000,"Medicaments containing antibiotics for therapeutic or prophylatic uses, not put up in measured doses or in forms or packings for retail sale"
1760,30033100,Medicaments containing insulin for therapeutic or prophylatic uses
1761,30033900,Medicaments containing harmones but not containing antibiotics
1762,30034000,Medicaments containing alkaloids or derivatives thereof
1763,30039000,Homeopathic medicaments not put up in measured doses or in forms or packings for retail sale
1764,30039010,Homoeopathic medicaments (pure ayurvedic and yunani)
1765,30039040,"Battisa, Drakshab, Trifala, Kabjahar, Chyawanprash, Kesari Jeevan etc,not put up in measured doses or in forms of packings for retail sale"
1766,30039090,"Medicaments consisting of two or more constituents which have been mixed together for  therapeutic or prophylactic uses, not put up in measured doses or in forms or packings for retail sale"
1767,30041000,Medicaments containing pencilin or derivatives thereof
1768,30042000,Medicaments containing antibiotic for therapeutic  or prophylatic uses
1769,30043100,Medicaments containing pencillins or derivatives thereof
1770,30043200,"Medicaments containing corticosteroid hormones, there derivatives"
1771,30043900,Medicaments containing hormones or other products
1772,30044000,Medicaments containing alkaliods or derivatives thereof but not containing harmones
1773,30045000,Medicament containing vitamins
1774,30049010,Homeopathic medicaments ( Pure Ayurvedic and yunani )
1775,30049040,"Battisa, Drakshab, Trifala, Kabjahar, Chyawanprash, Kesari Jeevan etc,put up in measured doses or in forms of packings for retail sale"
1776,30049041,"Battisa, Drakshyasab, Trifala, Kabjahar & Keshari Jivan"
1777,30049049,"Chyawanprash, Dasamularist, kalpasundari,  Ashokarista, herbal vitamins."
1778,30049050,Medicated Balm contained menthol or camphor and similar products
1779,30049090,"Medicaments, put up in measured doses or in forms of packings for retail sale"
1780,30051000,Adhesive dressings and other articles having an adhesive layer
1781,30059000,"Wadding, gauze, bandages and similar articles"
1782,30061000,"Sterile surgical catgut, similar sterile suture materials and sterile tissue adhesives for surgical wound closure"
1783,30062000,Blood grouping reagents
1784,30062011,Blood groupin reagents
1785,30062090,Blood groupin reagents
1786,30063000,Opacifying preparations for x-ray examinations
1787,30064000,"Dental cements and dental fillings, bone reconstruction cements"
1788,30065000,First aid boxes and kits
1789,30066000,Chemical contraceptive preparations based on harmones or spermicides
1790,30067000,Gel preparation designed to be used in human or veterinery medicine
1791,30068000,Waste pharmaceuticals
1792,30069100,Appliances identifiable for ostomy use
1793,30069200,Waste pharmaceuticals
1794,31010000,Animal or vegetable fertilisers
1795,31021000,"Fertiliser, urea"
1796,31022100,"Fertiliser, ammonium sulphate"
1797,31022900,"Fertilisers,mixtures of ammonium sulphate and ammonoum nitrate"
1798,31023000,"Fertiliser, ammonium nitrate"
1799,31024000,"Fertiliser, mixture of ammonium nitrate with calcium carbonate"
1800,31025000,"Fertiliser, sodium nitrate"
1801,31026000,"Fertiliser, double salts and mixtures of calcium nitrate and ammonium nitrate"
1802,31027000,"Fertiliser, calcium cynamide"
1803,31028000,"Fertiliser, mixture of urea and ammonium nitrate in aqueous or ammonical solution"
1804,31029000,Fertilisers including mixtures
1805,31031000,Superphosphates
1806,31039000,"Mineral or chemical fertilisers, phosphatic"
1807,31042000,Potassium chloride
1808,31043000,Potassium sulphate
1809,31049000,Potash
1810,31051000,"Mineral or chemical fertilisers containing two or three of the fertilising elements nitrogen, phosphorus and potassium"
1811,31052000,"Mineral or chemical fertilisers containing the three fertilising elements nitrogen, phosphorus and potassium"
1812,31053000,Diammonium Hydrogenorthophosphate
1813,31054000,Ammonium dihydrogenorthophosphate (monoam-monium  phosphate) and mixtures thereof with diammonium  hydrogenorthophosphate (diammonium phosphate)
1814,31055100,Mineral or chemical fertilisers containing nitrates and phosphates
1815,31055900,Mineral or chemical fertilisers
1816,31056000,Mineral or chemical fertilisers containing the two fertilising elements phosphorus and potassium
1817,31059000,Fertilizers
1818,32011000,Quebracho extract
1819,32012000,Wattle extracts
1820,32019000,Gambier
1821,32019010,Gambier
1822,32019090,Tanning extracts of vegetable origin
1823,32021000,Synthetic organic tanning substances
1824,32029000,Synthetic inorganic tanning substances
1825,32030000,Colouring matter of vegetable or animal origin
1826,32030010,Colouring matter of vegetable or animal origin ( Kachha)
1827,32030090,Colouring matter of vegetable or animal origin ( Kattha)
1828,32041100,Dispers dyes
1829,32041200,Acid dyes
1830,32041300,Basic dyes
1831,32041400,Direct dyes
1832,32041500,Vat dyes
1833,32041600,Reactive dyes
1834,32041700,Pigments (synthetic organic colouring matter)
1835,32041900,Synthetic organic colouring matter of two or more dyes
1836,32042000,Synthetic organic products of a kind used as fluoroscent brightening agents
1837,32049000,Synthetic organic colouring products
1838,32050000,Colour lakes
1839,32061000,Pigament and preparation based on titanium oxide
1840,32061100,Pigments and preparation based on titanium dioxide containing 80% or more by weight of titanium dioxide calculated on dry weight
1841,32061900,Pigments and preparations based on titanium dioxide
1842,32062000,Pigments and preparations based on chromium compounds
1843,32063000,Pigments and preparations based on cadmium compounds
1844,32064100,Ultramarine and preparations based thereon
1845,32064200,Lithphone and other pigments and preparation based on zinc sulphide
1846,32064300,Pigments and preparations based on hexacyanoferrates
1847,32064900,Colouring matter
1848,32065000,Inorganic product of a kind used as luminophores
1849,32071000,"Prepared pigments, prepared opacifers, prepared colours and similar preparations"
1850,32072000,"Vitrifiable enamels and glazes, engobes (slips) and similar preparations"
1851,32073000,Liquid lustres and similar preparations
1852,32074000,Glass frit and other glass in the form of powder granules or flakes
1853,32074900,"Prepared pigments, prepared ophacifiers, prepared colours"
1854,32081000,Paints and varnishes based on polyesters
1855,32082000,Paints and varnishes based on acrylic or vinyl polymers
1856,32089000,"Paints and varnishes, dispersed or dissolved in a non-aqueous medium"
1857,32091000,"Paint and varnishes, based on acrylic or vinly polymers"
1858,32099000,Paints and varnishes
1859,32100000,"Paints and varnishes, prepared water pigments of a kind used for finishing leather"
1860,32110000,Prepared driers
1861,32121000,Stamping foils
1862,32129000,Dyes and other colouring matter
1863,32131000,"Artists, students or signboard painters colours in set"
1864,32139000,"Artists, students or signboard painters colours"
1865,32141000,"Glaziers putty, grafting putty, resin cement, caulking compounds and other mastics: painters fillings"
1866,32149000,"Non-refractory surfacing preparation for facades, indoor walls, floors, ceiling"
1867,32151100,Black printing ink
1868,32151900,Printing ink
1869,32159000,Writing and drawing ink
1870,33011100,Essential oil of bergamot
1871,33011200,Essentialoils of orange
1872,33011300,Essential oils of lemon
1873,33011400,Essential oil of lime
1874,33011900,Essential oil of citrus fruits
1875,33012200,Essential oil of jasmin
1876,33012400,Esential oils of peppermint (Mentha piperita
1877,33012500,Essential oils mint
1878,33012900,Essential oils other than those of citrus fruit
1879,33013000,Resinoids
1880,33019000,Essential oil
1881,33019010,Spikenard Oil
1882,33019011,Lemongrass Oil
1883,33019012,Wintergreen Oil
1884,33019013,Mentha Arvensis Oil
1885,33019014,Citronella Oil
1886,33019015,Palmarosa Oil
1887,33019016,Camomile Oil
1888,33019017,French basil Oil
1889,33019018,Nagaratha Oil
1890,33019019,Juniper berry oil
1891,33019020,Abies Oil
1892,33019021,Rhododendron Oil
1893,33019022,Gingergrass Oil
1894,33019023,Zanthoxylumail oil
1895,33021000,Mixtures of odoriferous substance used in the food or drink industries
