# price in rupees per kilogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
year,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
cmname,Flattened Rice (Rupees Per Kilogram),Flattened Rice (Rupees Per Kilogram),Flattened Rice (Rupees Per Kilogram),Flattened Rice (Rupees Per Kilogram),Flattened Rice (Rupees Per Kilogram),Flattened Rice (Rupees Per Kilogram),Flattened Rice (Rupees Per Kilogram),Flattened Rice (Rupees Per Kilogram),Flattened Rice (Rupees Per Kilogram),Flattened Rice (Rupees Per Kilogram),Flattened Rice (Rupees Per Kilogram),Flattened Rice (Rupees Per Kilogram),Flattened Rice (Rupees Per Kilogram),Flattened Rice (Rupees Per Kilogram),Flattened Rice (Rupees Per Kilogram),Flattened Rice (Rupees Per Kilogram),Flattened Rice (Rupees Per Kilogram),Flattened Rice (Rupees Per Kilogram),Flattened Rice (Rupees Per Kilogram),Flattened Rice (Rupees Per Kilogram),Flattened Rice (Rupees Per Kilogram),Flattened Rice (Rupees Per Kilogram),Flattened Rice (Rupees Per Kilogram),Flattened Rice (Rupees Per Kilogram),Flattened Rice (Rupees Per Kilogram),Flattened Rice (Rupees Per Kilogram),Flattened Rice (Rupees Per Kilogram),Flattened Rice (Rupees Per Kilogram),Flattened Rice (Rupees Per Kilogram),Flattened Rice (Rupees Per Kilogram),Flattened Rice (Rupees Per Kilogram),Flattened Rice (Rupees Per Kilogram),Flattened Rice (Rupees Per Kilogram),Flattened Rice (Rupees Per Kilogram),Flattened Rice (Rupees Per Kilogram),Flattened Rice (Rupees Per Kilogram),Flattened Rice (Rupees Per Kilogram),Flattened Rice (Rupees Per Kilogram),Flattened Rice (Rupees Per Kilogram),Flattened Rice (Rupees Per Kilogram)
price,5.82,5.28,4.74,5.02,5,5.95,6.53,8.1,8.43,9.1,9.15,10.32,11.71,9.51,11.67,13.18,14.76,16.45,16.9,18.55,19.81,21.42,21.83,23.49,27.23,24.13,23.97,22.53,23.99,23.11,26.86,27.15,30.34,37.98,40.97,46.81,47.86,50.5,53.13,60.57
