# price in rupees per kilogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
year,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
cmname,Wheat Flour (Rupees Per Kilogram),Wheat Flour (Rupees Per Kilogram),Wheat Flour (Rupees Per Kilogram),Wheat Flour (Rupees Per Kilogram),Wheat Flour (Rupees Per Kilogram),Wheat Flour (Rupees Per Kilogram),Wheat Flour (Rupees Per Kilogram),Wheat Flour (Rupees Per Kilogram),Wheat Flour (Rupees Per Kilogram),Wheat Flour (Rupees Per Kilogram),Wheat Flour (Rupees Per Kilogram),Wheat Flour (Rupees Per Kilogram),Wheat Flour (Rupees Per Kilogram),Wheat Flour (Rupees Per Kilogram),Wheat Flour (Rupees Per Kilogram),Wheat Flour (Rupees Per Kilogram),Wheat Flour (Rupees Per Kilogram),Wheat Flour (Rupees Per Kilogram),Wheat Flour (Rupees Per Kilogram),Wheat Flour (Rupees Per Kilogram),Wheat Flour (Rupees Per Kilogram),Wheat Flour (Rupees Per Kilogram),Wheat Flour (Rupees Per Kilogram),Wheat Flour (Rupees Per Kilogram),Wheat Flour (Rupees Per Kilogram),Wheat Flour (Rupees Per Kilogram),Wheat Flour (Rupees Per Kilogram),Wheat Flour (Rupees Per Kilogram),Wheat Flour (Rupees Per Kilogram),Wheat Flour (Rupees Per Kilogram),Wheat Flour (Rupees Per Kilogram),Wheat Flour (Rupees Per Kilogram),Wheat Flour (Rupees Per Kilogram),Wheat Flour (Rupees Per Kilogram),Wheat Flour (Rupees Per Kilogram),Wheat Flour (Rupees Per Kilogram),Wheat Flour (Rupees Per Kilogram),Wheat Flour (Rupees Per Kilogram),Wheat Flour (Rupees Per Kilogram),Wheat Flour (Rupees Per Kilogram)
price,3.15,2.99,3.17,3.2,3.44,3.94,3.85,4.93,5,4.71,4.5,5.74,6.33,7.21,6.75,7.27,9.17,10.61,10.09,11.68,12.38,13.6,14.3,15.5,18.23,17.71,17.05,18.34,20.73,20.45,21.68,25.54,28.02,29.47,31.82,35.87,34.66,38.24,42.65,44.62
