Area Code,Area,Item Code,Item,Element Code,Element,Unit,Y1991,Y1991F,Y1992,Y1992F,Y1993,Y1993F,Y1994,Y1994F,Y1995,Y1995F,Y1996,Y1996F,Y1997,Y1997F,Y1998,Y1998F,Y1999,Y1999F,Y2000,Y2000F,Y2001,Y2001F,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F,Y2015,Y2015F,Y2016,Y2016F,Y2017,Y2017F
149,Nepal,388,Tomatoes,5530,Producer Price (LCU/tonne),LCU,,,,,,,,,,,22023,,22230,,21597,,28589,,24888,,25129,,25319,,24487,,25902,,18480,,25761,,27357.2,F,28953.4,F,30549.6,F,33742,,33742,,,,,,,,,,,,,
149,Nepal,388,Tomatoes,5531,Producer Price (SLC/tonne),SLC,,,,,,,,,,,22023,,22230,,21597,,28589,,24888,,25129,,25319,,24487,,25902,,18480,,25761,,27357.2,F,28953.4,F,30549.6,F,33742,,33742,,,,,,,,,,,,,
149,Nepal,388,Tomatoes,5532,Producer Price (USD/tonne),USD,,,,,,,,,,,388.5,,383.2,,327.3,,419,,350.1,,335.3,,325.1,,321.6,,351.6,,258.9,,354.1,,411.9,F,415,F,393.8,F,460.6,,455.8,,,,,,,,,,,,,
149,Nepal,463,"Vegetables, fresh nes",5530,Producer Price (LCU/tonne),LCU,,,,,,,,,,,,,,,,,,,11000,,10650,,14000,,10500,,13620,,15149,,15756,,16859,,18951.6,F,19508.6,F,25128.3,F,35300,,36700,,37390,,37838.7,,38292.7,,38473.7,,41767.1,
149,Nepal,463,"Vegetables, fresh nes",5531,Producer Price (SLC/tonne),SLC,,,,,,,,,,,,,,,,,,,11000,,10650,,14000,,10500,,13620,,15149,,15756,,16859,,18951.6,F,19508.6,F,25128.3,F,35300,,36700,,37390,,37838.7,,38292.7,,38473.7,,41767.1,
149,Nepal,463,"Vegetables, fresh nes",5532,Producer Price (USD/tonne),USD,,,,,,,,,,,,,,,,,,,154.7,,142.1,,179.8,,137.9,,184.9,,212.3,,216.6,,253.8,,271.7,F,251.5,F,343,F,476.9,,430.8,,402.1,,379.8,,373.1,,358,,399.8,
149,Nepal,222,"Walnuts, with shell",5530,Producer Price (LCU/tonne),LCU,,,,,,,,,,,,,,,,,,,,,41300,,44391,,45900,,48087,,47619,,50000,,61500,,69133.5,F,71165.3,F,91665.4,F,121321.4,,124961,,124961,,126460.5,,127978.1,,124603,,122110.9,
149,Nepal,222,"Walnuts, with shell",5531,Producer Price (SLC/tonne),SLC,,,,,,,,,,,,,,,,,,,,,41300,,44391,,45900,,48087,,47619,,50000,,61500,,69133.5,F,71165.3,F,91665.4,F,121321.4,,124961,,124961,,126460.5,,127978.1,,124603,,122110.9,
149,Nepal,222,"Walnuts, with shell",5532,Producer Price (USD/tonne),USD,,,,,,,,,,,,,,,,,,,,,551,,570,,602.8,,652.7,,667.2,,687.2,,926,,991,F,917.4,F,1251.2,F,1639,,1466.7,,1343.8,,1269.4,,1246.8,,1159.5,,1168.9,
149,Nepal,15,Wheat,5530,Producer Price (LCU/tonne),LCU,4594,,4880,,5725,,5780,,5880,,6940,,7900,,7860,,8688,F,9515,,9791,,9815,,9880,,10752,,11790,,11952,,13625,,15381.1,,17016.1,,19790,,21630,,21710,,23900,,25812,,27877,,28724.4,,29063.3,
149,Nepal,15,Wheat,5531,Producer Price (SLC/tonne),SLC,4594,,4880,,5725,,5780,,5880,,6940,,7900,,7860,,8688,F,9515,,9791,,9815,,9880,,10752,,11790,,11952,,13625,,15381.1,,17016.1,,19790,,21630,,21710,,23900,,25812,,27877,,28724.4,,29063.3,
149,Nepal,15,Wheat,5532,Producer Price (USD/tonne),USD,123.3,,114.2,,117.8,,117,,113.3,,122.4,,136.2,,119.1,,127.3,F,133.8,,130.6,,126,,129.8,,145.9,,165.2,,164.3,,205.1,,220.5,,219.4,,270.1,,292.2,,254.8,,257,,259.1,,271.6,,267.3,,278.2,
149,Nepal,987,"Wool, greasy",5530,Producer Price (LCU/tonne),LCU,,,,,,,,,,,,,,,,,,,,,63070,,65848,,69277,,74597,,79680,,85000,,90950,,97345.8,,130000,,137000,,148050.6,,160258.2,,160258.2,,161219.8,,162187.1,,168490,,179104.9,
149,Nepal,987,"Wool, greasy",5531,Producer Price (SLC/tonne),SLC,,,,,,,,,,,,,,,,,,,,,63070,,65848,,69277,,74597,,79680,,85000,,90950,,97345.8,,130000,,137000,,148050.6,,160258.2,,160258.2,,161219.8,,162187.1,,168490,,179104.9,
149,Nepal,987,"Wool, greasy",5532,Producer Price (USD/tonne),USD,,,,,,,,,,,,,,,,,,,,,841.5,,845.5,,909.8,,1012.5,,1116.5,,1168.3,,1369.4,,1395.4,,1675.8,,1870,,2000.1,,1881,,1723.3,,1618.3,,1580.1,,1567.9,,1714.4,
