# price in rupees per kilogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
year,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
cmname,Raw Rice Fine (Rupees Per Kilogram),Raw Rice Fine (Rupees Per Kilogram),Raw Rice Fine (Rupees Per Kilogram),Raw Rice Fine (Rupees Per Kilogram),Raw Rice Fine (Rupees Per Kilogram),Raw Rice Fine (Rupees Per Kilogram),Raw Rice Fine (Rupees Per Kilogram),Raw Rice Fine (Rupees Per Kilogram),Raw Rice Fine (Rupees Per Kilogram),Raw Rice Fine (Rupees Per Kilogram),Raw Rice Fine (Rupees Per Kilogram),Raw Rice Fine (Rupees Per Kilogram),Raw Rice Fine (Rupees Per Kilogram),Raw Rice Fine (Rupees Per Kilogram),Raw Rice Fine (Rupees Per Kilogram),Raw Rice Fine (Rupees Per Kilogram),Raw Rice Fine (Rupees Per Kilogram),Raw Rice Fine (Rupees Per Kilogram),Raw Rice Fine (Rupees Per Kilogram),Raw Rice Fine (Rupees Per Kilogram),Raw Rice Fine (Rupees Per Kilogram),Raw Rice Fine (Rupees Per Kilogram),Raw Rice Fine (Rupees Per Kilogram),Raw Rice Fine (Rupees Per Kilogram),Raw Rice Fine (Rupees Per Kilogram),Raw Rice Fine (Rupees Per Kilogram),Raw Rice Fine (Rupees Per Kilogram),Raw Rice Fine (Rupees Per Kilogram),Raw Rice Fine (Rupees Per Kilogram),Raw Rice Fine (Rupees Per Kilogram),Raw Rice Fine (Rupees Per Kilogram),Raw Rice Fine (Rupees Per Kilogram),Raw Rice Fine (Rupees Per Kilogram),Raw Rice Fine (Rupees Per Kilogram),Raw Rice Fine (Rupees Per Kilogram),Raw Rice Fine (Rupees Per Kilogram),Raw Rice Fine (Rupees Per Kilogram),Raw Rice Fine (Rupees Per Kilogram),Raw Rice Fine (Rupees Per Kilogram),Raw Rice Fine (Rupees Per Kilogram)
price,4,3.84,3.83,4.24,4.2,4.7,4.94,6.22,6.79,6.64,7.26,8.25,9.2,10.36,11.03,12.57,14.18,16.57,17.99,19.11,21.09,23.69,24.41,26.71,34.17,34.54,33.56,32.93,36.02,34.36,40.35,43.83,45.85,52.5,61.06,65.28,63.72,69.25,79,84.41
