# price in rupees per kilogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
year,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
cmname,Rice coarse (Rupees Per Kilogram),Rice coarse (Rupees Per Kilogram),Rice coarse (Rupees Per Kilogram),Rice coarse (Rupees Per Kilogram),Rice coarse (Rupees Per Kilogram),Rice coarse (Rupees Per Kilogram),Rice coarse (Rupees Per Kilogram),Rice coarse (Rupees Per Kilogram),Rice coarse (Rupees Per Kilogram),Rice coarse (Rupees Per Kilogram),Rice coarse (Rupees Per Kilogram),Rice coarse (Rupees Per Kilogram),Rice coarse (Rupees Per Kilogram),Rice coarse (Rupees Per Kilogram),Rice coarse (Rupees Per Kilogram),Rice coarse (Rupees Per Kilogram),Rice coarse (Rupees Per Kilogram),Rice coarse (Rupees Per Kilogram),Rice coarse (Rupees Per Kilogram),Rice coarse (Rupees Per Kilogram),Rice coarse (Rupees Per Kilogram),Rice coarse (Rupees Per Kilogram),Rice coarse (Rupees Per Kilogram),Rice coarse (Rupees Per Kilogram),Rice coarse (Rupees Per Kilogram),Rice coarse (Rupees Per Kilogram),Rice coarse (Rupees Per Kilogram),Rice coarse (Rupees Per Kilogram),Rice coarse (Rupees Per Kilogram),Rice coarse (Rupees Per Kilogram),Rice coarse (Rupees Per Kilogram),Rice coarse (Rupees Per Kilogram),Rice coarse (Rupees Per Kilogram),Rice coarse (Rupees Per Kilogram),Rice coarse (Rupees Per Kilogram),Rice coarse (Rupees Per Kilogram),Rice coarse (Rupees Per Kilogram),Rice coarse (Rupees Per Kilogram),Rice coarse (Rupees Per Kilogram),Rice coarse (Rupees Per Kilogram)
price,3.42,3.03,3.14,3.39,3.45,3.81,3.94,5.03,5.87,5.28,5.4,5.56,7,7.65,7.73,7.7,9.81,11.41,11.54,12.1,13.99,14.71,15.64,17.42,20.51,17.97,17.07,17.2,17.88,18.13,29.06,22.63,25.51,29.96,31.58,34.93,34.45,36.54,40.53,42.83
