# price in rupees per kilogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
year,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
cmname,Raw Rice Medium (Rupees Per Kilogram),Raw Rice Medium (Rupees Per Kilogram),Raw Rice Medium (Rupees Per Kilogram),Raw Rice Medium (Rupees Per Kilogram),Raw Rice Medium (Rupees Per Kilogram),Raw Rice Medium (Rupees Per Kilogram),Raw Rice Medium (Rupees Per Kilogram),Raw Rice Medium (Rupees Per Kilogram),Raw Rice Medium (Rupees Per Kilogram),Raw Rice Medium (Rupees Per Kilogram),Raw Rice Medium (Rupees Per Kilogram),Raw Rice Medium (Rupees Per Kilogram),Raw Rice Medium (Rupees Per Kilogram),Raw Rice Medium (Rupees Per Kilogram),Raw Rice Medium (Rupees Per Kilogram),Raw Rice Medium (Rupees Per Kilogram),Raw Rice Medium (Rupees Per Kilogram),Raw Rice Medium (Rupees Per Kilogram),Raw Rice Medium (Rupees Per Kilogram),Raw Rice Medium (Rupees Per Kilogram),Raw Rice Medium (Rupees Per Kilogram),Raw Rice Medium (Rupees Per Kilogram),Raw Rice Medium (Rupees Per Kilogram),Raw Rice Medium (Rupees Per Kilogram),Raw Rice Medium (Rupees Per Kilogram),Raw Rice Medium (Rupees Per Kilogram),Raw Rice Medium (Rupees Per Kilogram),Raw Rice Medium (Rupees Per Kilogram),Raw Rice Medium (Rupees Per Kilogram),Raw Rice Medium (Rupees Per Kilogram),Raw Rice Medium (Rupees Per Kilogram),Raw Rice Medium (Rupees Per Kilogram),Raw Rice Medium (Rupees Per Kilogram),Raw Rice Medium (Rupees Per Kilogram),Raw Rice Medium (Rupees Per Kilogram),Raw Rice Medium (Rupees Per Kilogram),Raw Rice Medium (Rupees Per Kilogram),Raw Rice Medium (Rupees Per Kilogram),Raw Rice Medium (Rupees Per Kilogram),Raw Rice Medium (Rupees Per Kilogram)
price,3.86,3.17,3.46,3.71,3.84,4.15,4.47,5.9,6.44,6.14,6.63,7.77,8.63,8.19,9.2,9.09,11.71,13.57,14.09,12.19,16.3,17.3,18,19.49,24.07,22.23,21.03,21.78,23.48,22.94,27.08,28.18,30.99,36.01,40.95,43.72,43.4,46.78,51.31,54.63
