Districts,Nepali,Headquarters,Area (km2.),Population (2011)[7],Official Website
Baglung District,बागलुङ जिल्ला,Baglung,"1,784","268,613",[39]
Gorkha District,गोरखा जिल्ला,Gorkha,"3,610","271,061",[40]
Kaski District,कास्की जिल्ला,Pokhara,"2,017","492,098",[41]
Lamjung District,लमजुङ जिल्ला,Besisahar,"1,692","167,724",[42]
Manang District,मनाङ जिल्ला,Chame,"2,246","6,538",[43]
Mustang District,मुस्ताङ जिल्ला,Jomsom,"3,573","13,452",[44]
Myagdi District,म्याग्दी जिल्ला,Beni,"2,297","113,641",[45]
Nawalpur District,नवलपुर जिल्ला,Kawasoti,"1,043.1","310,864",[46]
Parbat District,पर्वत जिल्ला,Kusma,494,"146,590",[47]
Syangja District,स्याङग्जा जिल्ला,Putalibazar,"1,164","289,148",[48]
Tanahun District,तनहुँ जिल्ला,Damauli,"1,546","323,288",[49]
Gandaki Pradesh,गण्डकी प्रदेश,Pokhara,"'21,733 km²","2,403,757",[50]
