Districts,Nepali,Headquarters,Area (km2.),Population (2011)[7],Official Website
Kapilvastu District,कपिलवस्तु जिल्ला,Taulihawa,"1,738","571,936",[51]
Parasi District,परासी जिल्ला,Ramgram,634.88,"321,058",[52]
Rupandehi District,रुपन्देही जिल्ला,Siddharthanagar,"1,360","880,196",[53]
Arghakhanchi District,अर्घाखाँची जिल्ला,Sandhikharka,"1,193","197,632",[54]
Gulmi District,गुल्मी जिल्ला,Tamghas,"1,149","280,160",[55]
Palpa District,पाल्पा जिल्ला,Tansen,"1,373","261,180",[56]
Dang Deukhuri District,दाङ देउखुरी जिल्ला,Ghorahi,"2,955","552,583",[57]
Pyuthan District,प्युठान जिल्ला,Pyuthan,"1,309","228,102",[58]
Rolpa District,रोल्पा जिल्ला,Liwang,"1,879","224,506",[59]
Eastern Rukum District,पूर्वी रूकुम जिल्ला,Rukumkot,"1,161.13","53,018",[60]
Banke District,बाँके जिल्ला,Nepalganj,"2,337","491,313",[61]
Bardiya District,बर्दिया जिल्ला,Gulariya,"2,025","426,576",[62]
Province No. 5,प्रदेश नं. ५,Butwal,"22,288 km²","4,499,272",[63]
