Districts,Nepali,Headquarters,Area (km2),Population (2011)[7],Official Website
Saptari District,सप्तरी जिल्ला,Rajbiraj,"1,363","639,284",[16]
Siraha District,सिराहा जिल्ला,Siraha,"1,188","637,328",[17]
Dhanusa District,धनुषा जिल्ला,Janakpur,"1,180","754,777",[18]
Mahottari District,महोत्तरी जिल्ला,Jaleshwar,"1,002","627,580",[19]
Sarlahi District,सर्लाही जिल्ला,Malangwa,"1,259","769,729",[20]
Bara District,बारा जिल्ला,Kalaiya,"1,190","687,708",[21]
Parsa District,पर्सा जिल्ला,Birganj,"1,353","601,017",[22]
Rautahat District,रौतहट जिल्ला,Gaur,"1,126","686,723",[23]
Province No. 2,प्रदेश नं० २,Janakpur,"9,661 km2","5,404,416",[24]
