Price of Wheat - Retail in INR per KG in India

Date,Price
January-1994,6.171428571428572
February-1994,6.15625
March-1994,6.322727272727272
April-1994,6.0875
May-1994,5.70625
June-1994,5.685714285714285
July-1994,5.9799999999999995
August-1994,5.827272727272727
September-1994,6.055
October-1994,5.944444444444445
November-1994,5.816666666666667
December-1994,6.346153846153846
January-1995,5.6875
February-1995,5.671428571428571
March-1995,5.635714285714286
April-1995,5.828571428571428
May-1995,5.40625
June-1995,5.275
July-1995,5.55
August-1995,6.016666666666667
September-1995,5.8500000000000005
October-1995,6.042857142857143
November-1995,6.05
December-1995,6.5
January-1996,6.741666666666666
February-1996,6.7192307692307685
March-1996,6.734615384615385
April-1996,6.726923076923076
May-1996,6.484615384615385
June-1996,7.145833333333333
July-1996,7.049999999999999
August-1996,7.296153846153846
September-1996,7.911538461538461
October-1996,8.076923076923077
November-1996,8.626923076923077
December-1996,9.173076923076923
January-1997,9.538461538461538
February-1997,9.215384615384615
March-1997,8.673076923076923
April-1997,8.396153846153847
May-1997,8.145833333333334
June-1997,8.383333333333333
July-1997,7.892857142857143
August-1997,7.9678571428571425
September-1997,7.9750000000000005
October-1997,7.880769230769231
November-1997,7.915384615384616
December-1997,8.164285714285715
January-1998,8.376923076923077
February-1998,8.442307692307692
March-1998,8.242307692307692
April-1998,8.076923076923077
May-1998,8.01923076923077
June-1998,8.057692307692308
July-1998,8.361538461538462
August-1998,8.365384615384615
September-1998,8.672727272727274
October-1998,8.48
November-1998,8.454545454545455
December-1998,8.440000000000001
January-1999,8.45
February-1999,8.716666666666665
March-1999,8.11111111111111
April-1999,7.883333333333332
May-1999,7.622222222222222
June-1999,8.02
July-1999,8.23
August-1999,8.504999999999999
September-1999,8.588888888888889
October-1999,8.739999999999998
November-1999,8.977777777777778
December-1999,9.1
January-2000,9.2
February-2000,8.879999999999999
March-2000,8.684999999999999
April-2000,8.425
May-2000,8.327272727272726
June-2000,8.304545454545455
July-2000,8.322727272727272
August-2000,8.163636363636364
September-2000,8.066363636363635
October-2000,8.045454545454545
November-2000,8.345454545454546
December-2000,8.451818181818181
January-2001,8.409090909090908
February-2001,8.431818181818182
March-2001,8.477272727272727
April-2001,8.272727272727273
May-2001,8.113636363636363
June-2001,8.4925
July-2001,8.3125
August-2001,8.415
September-2001,8.7075
October-2001,8.895
November-2001,9.0875
December-2001,9.1675
January-2002,8.625
February-2002,8.661538461538461
March-2002,8.653846153846153
April-2002,8.733333333333333
May-2002,8.583333333333334
June-2002,8.666666666666666
July-2002,8.711538461538462
August-2002,8.8125
September-2002,8.807692307692308
October-2002,8.958333333333334
November-2002,9.0625
December-2002,8.865384615384615
January-2003,8.903846153846153
February-2003,9
March-2003,8.961538461538462
April-2003,9.214285714285714
May-2003,9.053571428571429
June-2003,9.321428571428571
July-2003,9.267857142857142
August-2003,9.285714285714286
September-2003,9.346153846153847
October-2003,9.683333333333334
November-2003,9.592307692307692
December-2003,9.773076923076923
January-2004,10.211538461538462
February-2004,10.307692307692308
March-2004,10.134615384615385
April-2004,9.673076923076923
May-2004,9.307692307692308
June-2004,9.26923076923077
July-2004,9.423076923076923
August-2004,9.576923076923077
September-2004,9.792307692307691
October-2004,9.638461538461538
November-2004,9.73076923076923
December-2004,9.73076923076923
January-2005,10.057692307692308
February-2005,9.903846153846153
March-2005,9.634615384615385
April-2005,9.5
May-2005,9.553846153846154
June-2005,9.75
July-2005,9.76923076923077
August-2005,9.634615384615385
September-2005,9.711538461538462
October-2005,9.946153846153846
November-2005,10.458333333333334
December-2005,10.875
January-2006,11.508333333333333
February-2006,11.666666666666666
March-2006,11.583333333333334
April-2006,11.458333333333334
May-2006,11.625
June-2006,11.966666666666667
July-2006,11.9
August-2006,12.416666666666666
September-2006,12.791666666666666
October-2006,13.020833333333334
November-2006,13.645833333333334
December-2006,13.770833333333334
January-2007,13.833333333333334
February-2007,13.895833333333334
March-2007,13.25
April-2007,13.083333333333334
May-2007,12.666666666666666
June-2007,12.875
July-2007,13.115384615384615
August-2007,13.046153846153846
September-2007,13.076923076923077
October-2007,13.096153846153847
November-2007,13.365384615384615
December-2007,13.365384615384615
January-2008,13.615384615384615
February-2008,13.673076923076923
March-2008,14.115384615384615
April-2008,13.830769230769231
May-2008,13.692307692307692
June-2008,13.6875
July-2008,13.854166666666666
August-2008,13.9475
September-2008,13.905833333333334
October-2008,13.75
November-2008,13.75
December-2008,13.875
January-2009,14.25
February-2009,14.233333333333334
March-2009,14.416666666666666
April-2009,14.333333333333334
May-2009,14.375
June-2009,14.26923076923077
July-2009,14.846153846153847
August-2009,15.076923076923077
September-2009,15.076923076923077
October-2009,15.153846153846153
November-2009,16.653846153846153
December-2009,17.153846153846153
January-2010,17.76923076923077
February-2010,16.2
March-2010,16.923076923076923
April-2010,15.484615384615385
May-2010,15.916666666666666
June-2010,16.153846153846153
July-2010,16.135714285714286
August-2010,16.321428571428573
September-2010,16.5
October-2010,16.773571428571426
November-2010,16.85
December-2010,17.427857142857142
January-2011,17.186111111111114
February-2011,17.328333333333333
March-2011,17.0875
April-2011,16.764324324324324
May-2011,16.209999999999997
June-2011,16.20390243902439
July-2011,16.31473684210526
August-2011,16.229736842105265
September-2011,15.880714285714285
October-2011,15.948372093023252
November-2011,15.875581395348837
December-2011,15.982926829268292
January-2012,16.45
February-2012,16.14475
March-2012,16.2985
April-2012,16.11904761904762
May-2012,16.37268292682927
June-2012,16.766744186046513
July-2012,16.892093023255818
August-2012,17.700697674418603
September-2012,18.42093023255814
October-2012,19.002790697674417
